Language,Season Number,Name,Profession,Gender,Entry Date,Elimination Date,Elimination Week Number,Wild Card,Season Length,Number of Housemates,Season Start Date,Season End Date,Host Name,Guest Host Name,Prize Money (INR),Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of times elected as Captain,Number of re-entries,Walked,Ejected,In secret room,Won ticket to Finale,Number of times Best Performer,Number of times Worst Performer,Social Media Popularity,Finalist,Winner
Malayalam,1,Aditi Rai,Actress,Female,24/06/18,,14,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,5,1,0,0,0,,,,,,0,0
Malayalam,1,Anoop Chandran,Actor,Male,24/06/18,,10,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,4,1,0,0,0,,,,,,0,0
Malayalam,1,Archana Suseelan,Soap Actress,Female,24/06/18,,13,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,5,1,0,0,0,,,,,,0,0
Malayalam,1,Aristo Suresh,Singer,Male,24/06/18,,14,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,7,1,0,0,0,,,,,,1,0
Malayalam,1,Basheer Bashi,Social Media Star,Male,24/06/18,,12,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,2,1,0,0,0,,,,,,0,0
Malayalam,1,David John,Model,Male,24/06/18,,1,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,1,0,0,0,0,,,,,,0,0
Malayalam,1,Deepan Murali,Soap Actor,Male,24/06/18,,4,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,2,0,0,0,0,,,,,,0,0
Malayalam,1,Diya Sana,Activist,Female,24/06/18,,6,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,2,0,0,0,0,,,,,,0,0
Malayalam,1,Hima Shankar,Actress,Female,24/06/18,,11,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,4,0,1,0,0,,,,,,0,0
Malayalam,1,Manoj K. Verma,Entrepreneur,Male,24/06/18,,-,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,0,0,0,1,0,,,,,,0,0
Malayalam,1,Pearle Maaney,Actress,Female,24/06/18,,14,No,98,18,24/06/18,30/09/18,Mohanlal,-,0,Asianet,Disney+ Hotstar,10.33,Kerala,Lonavala,No,9,1,0,0,0,,,,,8,1,0
